Address,City,State,Zipcode,Name,Phone Number,Group,URL,Email
492 Elmwood Avenue,Buffalo,NY,,ÁToro! Tapas Bar,,,http://localrestaurantweek.com/restaurant_profile9202.html?id=318791,
31 North Johnson Park,Buffalo,NY,,31 Club,,,http://localrestaurantweek.com/restaurant_profile1781.html?id=383026,
2192 Niagara Street,Buffalo,NY,,Acqua Restaurant & Banquets,,,http://localrestaurantweek.com/restaurant_profile3775.html?id=836787,
708 Elmwood Avenue,Buffalo,NY,,Acropolis,,,http://localrestaurantweek.com/restaurant_profile6a74.html?id=668843,
4517 Main Street,Amherst,NY,,Adam's Rib,,,http://localrestaurantweek.com/restaurant_profile7c7f.html?id=318802,
8322 Park Road,Batavia,NY,,Alex's Place,,,http://localrestaurantweek.com/restaurant_profile4666.html?id=318811,
245 Allen Street,Buffalo,NY,,Allen Street Hardware Cafe,,,http://localrestaurantweek.com/restaurant_profilee2c7.html?id=318819,
2250 Walden Avenue,Cheektowaga,NY,,Alton's Restaurant,,,http://localrestaurantweek.com/restaurant_profiled302.html?id=318821,
2221 Transit Road,Elma,NY,,Alton's Restaurant,,,http://localrestaurantweek.com/restaurant_profile2d5d.html?id=667891,
7170 Transit Road,Williamsville,NY,,Amaretto Italian Bistro,,,http://localrestaurantweek.com/restaurant_profile2582.html?id=527914,
7901 Seneca Street,East Aurora,NY,,American Grille on Seneca,,,http://localrestaurantweek.com/restaurant_profile8567.html?id=1356100,
2516 Elmwood Avenue,Kenmore,NY,,Amici Ristorante,,,http://localrestaurantweek.com/restaurant_profile5caf.html?id=318827,
5385 Main Street,Williamsville,NY,,Apple Wood Cafe & Catering,,,http://localrestaurantweek.com/restaurant_profile8ddf.html?id=1352037,
5381 Abbott Road,Hamburg,NY,,Armor Inn Tap Room,,,http://localrestaurantweek.com/restaurant_profilee65c.html?id=900731,
10529 Main Street,Clarence,NY,,Asa Ransom House,,,http://localrestaurantweek.com/restaurant_profile7a98.html?id=318850,
4060 Seneca Street #3,West Seneca,NY,,Asian Star Restaurant,,,http://localrestaurantweek.com/restaurant_profile833c.html?id=822333,
7001 Buffalo Avenue,Niagara Falls,NY,,Bella Vista Ristorante,,,http://localrestaurantweek.com/restaurant_profile60a9.html?id=1483161,
370 Virginia Street,Buffalo,NY,,Betty's,,,http://localrestaurantweek.com/restaurant_profile7650.html?id=752212,
643 Main Street,Buffalo,NY,,Bijou Grille,,,http://localrestaurantweek.com/restaurant_profileafd4.html?id=319751,
1952 Kensington Avenue,Amherst,NY,,Bing's Restaurant & Catering,,,http://localrestaurantweek.com/restaurant_profile4986.html?id=318887,
110 Main Street,Youngstown,NY,,Bistro at the Old Fort Inn,,,http://localrestaurantweek.com/restaurant_profilecc0f.html?id=532292,
5493 Sheridan Drive,Amherst,NY,,Black & Blue Steak and Crab,,,http://localrestaurantweek.com/restaurant_profile78d9.html?id=318895,
491 Amherst Street,Buffalo,NY,,Black Rock Kitchen & Bar,,,http://localrestaurantweek.com/restaurant_profile012f.html?id=825277,
727 Elmwood Avenue,Buffalo,NY,,Blue Monk,,,http://localrestaurantweek.com/restaurant_profile27c6.html?id=762760,
995 Niagara Street,Buffalo,NY,,Boomerangs,,,http://localrestaurantweek.com/restaurant_profile64e8.html?id=767470,
5781 Seneca Street,Elma,NY,,Bravo Cafe & Catering,,,http://localrestaurantweek.com/restaurant_profile035f.html?id=669449,
4401 Transit Road,Williamsville,NY,,Brennan's Bowery Bar & Restaurant,,,http://localrestaurantweek.com/restaurant_profile4679.html?id=318922,
904 Abbott Road,Buffalo,NY,,Brick Oven Bistro & Deli,,,http://localrestaurantweek.com/restaurant_profile275e.html?id=921445,
4548 Main Street,Amherst,NY,,Brodo,,,http://localrestaurantweek.com/restaurant_profilebbaa.html?id=669506,
6861 Main Street,Williamsville,NY,,Buffalo Brewpub,,,http://localrestaurantweek.com/restaurant_profile10c8.html?id=383852,
282 Franklin Street,Buffalo,NY,,Buffalo Chophouse,,,http://localrestaurantweek.com/restaurant_profileebc9.html?id=318940,
1980 Niagara Falls Boulevard,Amherst,NY,,Buffalo Roadhouse Grill,,,http://localrestaurantweek.com/restaurant_profile97ac.html?id=528050,
2945 Southwestern Blvd.,Orchard Park,NY,,Buffalo Sports Garden,,,http://localrestaurantweek.com/restaurant_profile2d8d.html?id=844195,
3700 Southwestern Blvd,Orchard Park,NY,,Buffalo's Best Grill,,,http://localrestaurantweek.com/restaurant_profile343e.html?id=1357366,
391 Washington Street,Buffalo,NY,,Butterwood Sweet & Savory,,,http://localrestaurantweek.com/restaurant_profilefa0d.html?id=1353775,
490 Pearl Street,Buffalo,NY,,Cabaret,,,http://localrestaurantweek.com/restaurant_profileedc0.html?id=318951,
4401 Transit Road,Williamsville,NY,,Caffe Espresso Ristorante Italiano,,,http://localrestaurantweek.com/restaurant_profile490d.html?id=384882,
6336 Robinson Road,Lockport,NY,,Cammarata's Restaurant,,,http://localrestaurantweek.com/restaurant_profile658d.html?id=318964,
9334 Transit Road,East Amherst,NY,,Campobello's Cucina Italiana,,,http://localrestaurantweek.com/restaurant_profile08ae.html?id=768490,
